"BATHRM","HF_BATHRM","AC","BEDRM","AYB","EYB","QUALIFIED","GBA","STRUCT","CNDTN","ROOF","FIREPLACES","WARD","PRICE_TRANS","GRADE_MEDIAN_PRICE"
3,1,"Y",4,1880,1967,"Q",2552,"Expensive","Good","Cheap",2,"Ward 2",1244.98995979887,782.62
3,1,"Y",4,1800,1967,"Q",2382,"Expensive","Good","Cheap",3,"Ward 2",1303.84048104053,782.62
3,2,"Y",4,1800,1967,"Q",2520,"Expensive","Good","Cheap",2,"Ward 2",1303.84048104053,782.62
4,0,"N",6,1890,1970,"U",2556,"Expensive","Bad","Cheap",4,"Ward 2",1162.68224377944,1140.18
3,1,"Y",3,1908,1969,"Q",1590,"Expensive","Good","Cheap",0,"Ward 2",1159.74135047432,950.53
2,0,"Y",3,1939,1967,"Q",918,"Expensive","Good","Expensive",1,"Ward 2",974.679434480896,782.62
2,1,"Y",3,1900,1960,"Q",1780,"Expensive","Bad","Cheap",1,"Ward 2",1153.25625946708,950.53
2,0,"Y",3,1900,1969,"Q",1335,"Expensive","Good","Cheap",0,"Ward 1",911.04335791443,950.53
1,1,"Y",3,1880,1964,"U",1170,"Cheap","Bad","Cheap",0,"Ward 1",796.868872525461,782.62
2,0,"N",4,1900,1963,"Q",1707,"Cheap","Bad","Cheap",0,"Ward 2",994.98743710662,1067.71
3,0,"Y",5,1880,1987,"Q",2397,"Expensive","Good","Cheap",1,"Ward 2",1187.43420870379,1067.71
2,1,"Y",4,1875,1972,"Q",2037,"Expensive","Good","Cheap",1,"Ward 2",1228.82057274445,1067.71
2,1,"Y",3,1890,1969,"Q",1624,"Expensive","Good","Cheap",1,"Ward 2",1100,950.53
2,1,"Y",3,1885,1969,"Q",1464,"Expensive","Good","Cheap",1,"Ward 2",1058.30052442584,950.53
1,1,"Y",2,1876,1964,"Q",1152,"Expensive","Good","Cheap",1,"Ward 2",956.55632348545,663.25
3,1,"Y",5,1910,1969,"Q",2608,"Expensive","Good","Cheap",2,"Ward 2",1292.28479833201,950.53
2,0,"Y",2,1900,1969,"Q",1494,"Expensive","Good","Cheap",1,"Ward 2",1039.23048454133,950.53
1,1,"Y",3,1880,1961,"Q",900,"Expensive","Good","Cheap",1,"Ward 1",948.156105290685,663.25
2,0,"Y",3,1880,1964,"Q",1350,"Expensive","Good","Cheap",1,"Ward 1",882.043082847998,663.25
1,1,"Y",3,1900,1964,"Q",1350,"Expensive","Good","Cheap",0,"Ward 1",935.414346693485,663.25
1,1,"Y",3,1878,1964,"Q",1350,"Expensive","Good","Cheap",1,"Ward 1",938.083151964686,663.25
2,1,"Y",3,1900,1967,"Q",1728,"Expensive","Bad","Cheap",1,"Ward 1",984.88578017961,782.62
2,1,"Y",3,1920,1967,"Q",1728,"Expensive","Good","Cheap",1,"Ward 1",1053.56537528527,782.62
2,0,"Y",3,1907,1954,"Q",1184,"Expensive","Bad","Cheap",0,"Ward 1",886.002257333467,663.25
2,0,"Y",3,1906,1972,"U",1413,"Expensive","Good","Cheap",1,"Ward 1",894.427190999916,1067.71
1,0,"N",3,1895,1947,"U",1532,"Expensive","Bad","Cheap",0,"Ward 1",845.576726264388,782.62
2,1,"Y",3,1895,1967,"Q",1912,"Expensive","Good","Cheap",1,"Ward 1",1083.97416943394,782.62
1,1,"Y",3,1890,1967,"Q",1422,"Expensive","Good","Cheap",2,"Ward 1",908.295106229247,782.62
1,0,"N",3,1890,1957,"Q",1322,"Expensive","Bad","Cheap",0,"Ward 1",963.327566303384,782.62
1,0,"N",3,1890,1957,"Q",1322,"Expensive","Good","Cheap",0,"Ward 1",836.660026534076,782.62
1,1,"Y",2,1890,2008,"Q",1348,"Expensive","Good","Cheap",0,"Ward 1",932.737905308882,782.62
2,1,"Y",3,1885,1963,"Q",2539,"Expensive","Bad","Cheap",6,"Ward 2",1234.90890352285,1067.71
3,0,"N",3,1885,1963,"U",2483,"Expensive","Bad","Cheap",0,"Ward 2",1118.03398874989,1067.71
2,0,"Y",2,1900,1969,"U",1162,"Expensive","Good","Cheap",1,"Ward 2",774.015503720694,950.53
3,0,"Y",2,1907,1972,"Q",1386,"Expensive","Good","Cheap",1,"Ward 1",1000,1067.71
